1;Grys bazaltowy;Grys bazaltowy to naturalny kamień pochodzący z bazaltu, który jest wulkaniczną skałą magmową. Jest znany ze swojej wytrzymałości, twardości i trwałości, co czyni go popularnym materiałem do zastosowań zarówno wewnętrznych, jak i zewnętrznych. Grys bazaltowy ma zazwyczaj ciemne odcienie szarości lub czerni, co nadaje mu elegancki wygląd. Jest wykorzystywany w projektach krajobrazowych, na podjazdach, ścieżkach, tarasach oraz w dekoracji ogrodów i podwórek. Dzięki swojej naturalnej urodzie i odporności na warunki atmosferyczne, grys bazaltowy jest popularnym wyborem dla osób poszukujących trwałego i estetycznego materiału.;105;img/grys_bazaltowy.jpg
2;Kora Kamienna;Kora kamienienna to rodzaj dekoracyjnego pokrycia na powierzchniach ogrodowych, które wykonane jest z naturalnej kory drzew lub kory drewna. Jest to popularny materiał w ogrodnictwie ze względu na swoje estetyczne właściwości i funkcjonalność. Jest stosowana do mulczowania grządek, ścieżek ogrodowych i innych obszarów, ponieważ zapobiega wzrostowi chwastów, ogranicza parowanie wody z gleby, utrzymuje równowagę temperatury i chroni korzenie roślin przed mrozem. Dodatkowo, kora kamienienna dodaje dekoracyjny akcent do ogrodu, tworząc naturalny i rustykalny wygląd.;350;img/kora-kamienna.jpg
3;Otoczak thassos;Otoczak Thassos to naturalny kamień dekoracyjny pochodzący z greckiej wyspy Thassos. Jest znany ze swojej wyjątkowej czystej bieli, co nadaje mu elegancki i luksusowy wygląd. Otoczak Thassos jest powszechnie stosowany w projektach architektonicznych i dekoracyjnych, takich jak tarasy, alejki, ścieżki ogrodowe i dekoracje wodne. Jego jasna kolorystyka sprawia, że wnętrza i zewnętrza wydają się bardziej przestronne i oświetlone. Dodatkowo, otoczak Thassos jest odporny na warunki atmosferyczne, trwały i łatwy do utrzymania, co sprawia, że jest popularnym wyborem w projektowaniu przestrzeni zewnętrznych.;1200;img/otoczak-thassos.jpg
4;Szary Grys;Szary grys to naturalny kamień o odcieniach szarości, który jest popularnym materiałem budowlanym i dekoracyjnym. Jest ceniony ze względu na swoją trwałość, odporność na warunki atmosferyczne i łatwość w utrzymaniu. Szary grys znajduje zastosowanie w wielu projektach, w tym w tworzeniu podjazdów, chodników, ścieżek ogrodowych, elewacji budynków, tarasów i murów. Jego neutralne odcienie szarości pozwalają łatwo dopasować go do różnych stylów architektonicznych i wystroju wnętrz, dodając im elegancji i naturalnego wyglądu.;170;img/szary-grys.jpg
5;Czerwony Grys;Grys czerwony to naturalny kamień o intensywnych czerwonych odcieniach, który dodaje ciepła i charakteru do projektów architektonicznych i dekoracyjnych. Jest często wykorzystywany w projektach ogrodowych, takich jak ścieżki, podjazdy, alejki czy dekoracyjne elementy w ogrodach. Czerwony grys doskonale kontrastuje z zielenią roślin, tworząc efektowne kompozycje krajobrazowe. Jest trwały, odporny na warunki atmosferyczne i łatwy do utrzymania. Dzięki swojej wyrazistej kolorystyce, grys czerwony nadaje projektom unikalny i dynamiczny wygląd, przyciągając wzrok i dodając energii do przestrzeni.;380;img/grys-czerwony.jpg
6;Otoczak biała Marianna;Otoczak Biała Marianna to naturalny kamień dekoracyjny o delikatnych, białych odcieniach. Jest wyjątkowy ze względu na swoją elegancję i subtelność. Otoczak ten jest często wykorzystywany w projektach krajobrazowych i dekoracyjnych, takich jak ogrody, oczka wodne, fontanny i aranżacje wokół basenów. Jego jasna kolorystyka nadaje przestrzeniom wrażenie czystości i harmonii. Dodatkowo, otoczak Biała Marianna jest odporny na działanie czynników atmosferycznych, co czyni go trwałym i łatwym w utrzymaniu. Jego delikatne barwy doskonale komponują się z innymi elementami ogrodowymi, tworząc spokojny i estetyczny krajobraz.;620;img/otoczak-biala-marianna.jpg
7;Dolomit różowy;Dolomit różowy to naturalny kamień o charakterystycznym różowym kolorze, który nadaje mu wyjątkową estetykę. Jest to kamień wapienny, który zawiera minerały dolomitu, co nadaje mu swoje unikalne właściwości. Dolomit różowy jest powszechnie wykorzystywany jako materiał budowlany i dekoracyjny. Jego delikatny różowy odcień nadaje wnętrzom i elewacjom budynków subtelny i elegancki wygląd. Dodatkowo, dolomit różowy jest trwały, odporny na ścieranie i łatwy do czyszczenia, co czyni go popularnym wyborem w różnych projektach architektonicznych. Jego naturalne piękno i różowy kolor dodają uroku i charakteru przestrzeniom, w których jest stosowany.;260;img/dolomit-rozowy.jpg
8;Otoczak czarny Negro;Otoczak czarny Negro to naturalny kamień dekoracyjny o głębokim, intensywnym czarnym kolorze. Jest to kamień, który wyróżnia się elegancją i nowoczesnym wyglądem. Otoczak czarny Negro jest często wykorzystywany w projektach krajobrazowych i ogrodowych, jako pokrycie ścieżek, tarasów, podjazdów oraz dekoracji wodnych. Jego ciemny kolor tworzy kontrast z zielenią roślin, dodając dramatycznego efektu i podkreślając inne elementy ogrodu. Dodatkowo, otoczak czarny Negro jest trwały, łatwy w utrzymaniu i odporny na warunki atmosferyczne. Jego elegancki wygląd sprawia, że jest popularnym wyborem dla osób poszukujących wyrafinowanego, nowoczesnego designu w swojej przestrzeni zewnętrznej.;1020;img/otoczak-czarny-negro.jpg
9;Otoczak żwirowy;Otoczak żwirowy to naturalny kamień dekoracyjny, który jest dostępny w różnych rozmiarach i odcieniach. Jest to rodzaj kamienia, który powstaje w wyniku naturalnego procesu erozji, przez co ma zaokrąglone kształty. Otoczak żwirowy jest często wykorzystywany w projektach ogrodowych jako pokrycie ścieżek, alejek, podjazdów oraz dekoracji wodnych. Jego naturalne odcienie, takie jak biały, szary, beżowy, brązowy czy czarny, pozwalają dopasować go do różnych stylów architektonicznych. Otoczak żwirowy jest trwały, łatwy w utrzymaniu i odporny na działanie czynników atmosferycznych. Jego naturalna tekstura i kolorystyka dodają charakteru i estetyki przestrzeniom, w których jest stosowany.;120;img/otoczak-zwirowy.jpg
10;Grys kwarcytowy różowy;Grys kwarcytowy różowy to naturalny kamień dekoracyjny o delikatnych różowych odcieniach. Jest wykonany z minerału kwarcu, co nadaje mu wyjątkową twardość i trwałość. Grys kwarcytowy różowy jest popularnym materiałem do tworzenia ścieżek ogrodowych, tarasów, podjazdów i innych powierzchni zewnętrznych. Jego różowy kolor dodaje uroku i subtelności do projektów krajobrazowych. Ponadto, grys kwarcytowy różowy jest odporny na działanie czynników atmosferycznych, łatwy do utrzymania i nie wymaga szczególnego konserwowania. Jego naturalna tekstura i estetyka tworzą przyjemną atmosferę i dodają charakteru do przestrzeni zewnętrznych.;135;img/grys-kwarcytowy-rozowy.jpg
